Feature,X_Value,Partial_Effect,CI_Lower,CI_Upper
nu_fixed,0.3096666666666667,120.75328322832218,-59.429139108273006,300.9357055649174
nu_fixed,0.31391919191919193,125.03273001207832,-51.70829234128969,301.77375236544634
nu_fixed,0.3181717171717172,128.55824899765986,-45.94446666143193,303.06096465675165
nu_fixed,0.32242424242424245,130.761180942406,-42.9537264591832,304.47608834399523
nu_fixed,0.3266767676767677,131.07310098869456,-43.049687845545094,305.1958898229342
nu_fixed,0.33092929292929296,129.12560261098548,-46.510123788674576,304.76132901064557
nu_fixed,0.3351818181818182,125.11479564854966,-53.42902094992269,303.658612247022
nu_fixed,0.3394343434343435,119.33567112870199,-63.48722760236345,302.15856985976745
nu_fixed,0.3436868686868687,112.08322007875763,-75.43549889439082,299.6019390519061
nu_fixed,0.34793939393939394,103.65243352603159,-87.11250529012705,294.4173723421902
nu_fixed,0.3521919191919192,94.3396250500506,-95.9309893707542,284.6102394708554
nu_fixed,0.35644444444444445,84.54847830911,-100.62895776489053,269.72591438311053
nu_fixed,0.36069696969696974,74.86759092155917,-102.45968860246226,252.1948704455806
nu_fixed,0.36494949494949497,65.90384346752478,-103.1900439515567,234.99773088660626
nu_fixed,0.3692020202020202,58.26411652713312,-104.34986896578005,220.8781020200463
nu_fixed,0.3734545454545455,52.55529068051057,-106.62910400070945,211.7396853617306
nu_fixed,0.3777070707070707,49.370108812690226,-109.51114692567603,208.2513645510565
nu_fixed,0.381959595959596,48.926416374556496,-112.0434955427631,209.8963282918761
nu_fixed,0.38621212121212123,51.03725684420044,-113.77092521333338,215.84543890173427
nu_fixed,0.3904646464646465,55.49554405181643,-114.44319474052097,225.43428284415384
nu_fixed,0.39471717171717174,62.094191827598635,-113.90743414170923,238.0958177969065
nu_fixed,0.398969696969697,70.62611400174141,-112.10078511282579,253.3530131163086
nu_fixed,0.40322222222222226,80.7909311045545,-109.22769770533863,270.8095599144476
nu_fixed,0.4074747474747475,91.12276329784116,-106.98641753129199,289.2319441269743
nu_fixed,0.4117272727272728,99.36347366707432,-107.65545074933976,306.3823980834884
nu_fixed,0.415979797979798,103.23978528812849,-112.98671866381808,319.46628924007507
nu_fixed,0.42023232323232323,100.47842123687846,-124.32997861422481,325.2868210879817
nu_fixed,0.4244848484848485,88.80610458919875,-142.91751985907402,320.5297290374715
nu_fixed,0.42873737373737375,66.30508610524312,-170.0249284925153,302.6351007030015
nu_fixed,0.43298989898989904,33.49539110045081,-206.08350995345546,273.07429215435707
nu_fixed,0.43724242424242427,-8.080424320988316,-251.41391831145447,235.2530696694778
nu_fixed,0.4414949494949495,-56.87630578685504,-306.452812851771,192.70020127806094
nu_fixed,0.4457474747474748,-111.34619892493048,-371.330890410795,148.63849256093403
nu_fixed,0.45,-169.94404936299384,-445.4889564297967,105.60085770380903
E_free_GPa,0.424,-2272.248484069121,-2623.1334880705135,-1921.363480067728
E_free_GPa,4.692444444444445,-1869.971818112493,-2167.3826166456265,-1572.5610195793597
E_free_GPa,8.960888888888888,-1488.5671935478683,-1740.2786292919127,-1236.855757803824
E_free_GPa,13.229333333333333,-1133.0563622209422,-1348.9111733865977,-917.2015510552867
E_free_GPa,17.497777777777777,-808.4610759774092,-999.8195357584559,-617.1026161963625
E_free_GPa,21.766222222222222,-519.8030866629646,-697.8592979864602,-341.746875339469
E_free_GPa,26.034666666666666,-272.0964798183817,-445.4931538940915,-98.69980574267183
